Accession ID,Collection date,Submission date,Location
EPI_ISL_15814378,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814377,26/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814376,25/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814375,26/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814374,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sao Joao Evangelista
EPI_ISL_15818235,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818234,15/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818233,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818232,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818227,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818226,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818225,12/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818224,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818223,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15818222,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15818221,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15818220,12/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818219,12/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818218,12/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818217,12/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15818216,11/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15818215,09/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15818214,11/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818213,09/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818212,09/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818211,10/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Nova Serrana
EPI_ISL_15818210,09/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15818209,08/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15818208,08/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818207,08/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818206,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15818205,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Guanhaes
EPI_ISL_15818204,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Para De Minas
EPI_ISL_15818203,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Para De Minas
EPI_ISL_15818202,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818201,08/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15818196,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818195,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818194,08/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15814365,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ponte Nova
EPI_ISL_15814364,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Pequi
EPI_ISL_15814363,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Pequi
EPI_ISL_15814362,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Pequi
EPI_ISL_15814373,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Sao Joao Evangelista
EPI_ISL_15814372,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814371,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814370,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814369,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814368,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814367,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Santo Hipolito
EPI_ISL_15814366,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Ponte Nova
EPI_ISL_15814361,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Pequi
EPI_ISL_15814360,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Pecanha
EPI_ISL_15814359,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814358,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814353,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814352,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814351,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814350,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814357,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814356,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814355,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814354,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15814342,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814349,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Para De Minas
EPI_ISL_15814348,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Para De Minas
EPI_ISL_15814347,17/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Para De Minas
EPI_ISL_15814346,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814339,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Nova Serrana
EPI_ISL_15814338,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Montes Claros
EPI_ISL_15814337,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Monte Carmelo
EPI_ISL_15814336,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814335,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814334,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814333,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814345,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814344,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814343,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814332,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814331,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Matias Barbosa
EPI_ISL_15814330,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Martinho Campos
EPI_ISL_15814329,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15814328,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Juiz De Fora
EPI_ISL_15814327,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15814326,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15814325,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15814324,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15814323,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15814322,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15814321,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Ipatinga
EPI_ISL_15814320,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Ipatinga
EPI_ISL_15814319,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ipatinga
EPI_ISL_15814318,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Guanhaes
EPI_ISL_15814341,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814340,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15814309,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15814313,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814312,23/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814311,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814310,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Frei Inocencio
EPI_ISL_15814317,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Guanhaes
EPI_ISL_15814316,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814315,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814314,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Governador Valadares
EPI_ISL_15814301,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15814300,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_15814299,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_15814298,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_15814297,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Divinopolis
EPI_ISL_15814296,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Divinolandia De Minas
EPI_ISL_15814291,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814290,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814289,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814288,26/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814287,23/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814286,22/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814285,22/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814284,23/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814305,22/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15814304,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15814303,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15814302,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15814295,03/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Curvelo
EPI_ISL_15814294,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814293,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814292,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Corinto
EPI_ISL_15814280,07/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814279,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814278,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814277,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814283,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Conselheiro Lafaiete
EPI_ISL_15814282,23/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Congonhas
EPI_ISL_15814281,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Campo Belo
EPI_ISL_15814308,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15814307,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15814306,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Ferros
EPI_ISL_15814270,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814276,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814275,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814274,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814273,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814272,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814271,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814266,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814265,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814264,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814263,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814262,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814261,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15814260,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15814259,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15814269,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814268,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814258,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15814257,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15814256,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Bom Despacho
EPI_ISL_15814255,09/09/2022,18/11/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15814267,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15814249,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814251,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814250,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814254,05/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814253,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814252,02/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814248,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814247,01/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814242,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814241,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814240,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814235,26/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814239,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814238,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814237,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814236,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814228,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814227,06/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15814226,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15814225,04/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15814246,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814245,30/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814244,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814243,29/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814232,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814231,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814230,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814229,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814234,25/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15814224,28/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15814223,27/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15814233,24/06/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15257864,15/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paiva
EPI_ISL_15257868,16/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257867,16/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257866,17/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Ouro Branco
EPI_ISL_15257865,15/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paiva
EPI_ISL_15257856,10/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257855,10/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257854,10/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257853,10/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15257848,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257847,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257846,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257845,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257844,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257843,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257842,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257841,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257840,16/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Araguari
EPI_ISL_15257839,08/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257838,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257837,08/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257836,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paineiras
EPI_ISL_15257835,08/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15257834,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Novo Oriente De Minas
EPI_ISL_15257833,08/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15257832,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Caetanopolis
EPI_ISL_15257831,04/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15257830,04/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15257829,07/03/2022,05/10/2022,South America / Brazil / Minas Gerais / Paraopeba
EPI_ISL_15257824,26/07/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257823,02/09/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257822,26/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257821,29/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257809,10/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257808,10/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257807,10/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15257806,09/08/2022,05/10/2022,South America / Brazil / Minas Gerais / Belo Horizonte
